Country,Confucius Institute,Link,Active,City,Other Links,"date est.
(mm/dd/yyyy)",,
Greece,Confucius Institute at Aristotle University of Thessaloniki,http://zhuanti.hanban.org/videolist/?cat=725&tag=en,yes,Thessaloniki,https://www.facebook.com/Confucius-Institute-at-AUTh-102494767975707/,12/20/2018,,
Greece,Confucius Institute at University of Thessaly,http://zhuanti.hanban.org/videolist/?cat=797&tag=en,yes,Volos,"https://www.facebook.com/UTH.CONFUCIUS/
https://www.portseurope.com/president-xi-jinping-sees-agreement-exchange-ceremony-of-establishment-of-confucius-institute-at-university-of-thessaly/",11/11/2019,,
Guinea,Confucius Institute at Gamal Abdel Nasser University of Conakry,http://zhuanti.hanban.org/videolist/?cat=672&tag=en,probably,Conakry,https://www.facebook.com/Institut-Confucius-UGANC-102342384458994/,8/9/2019,,
Guyana,Confucius Institute at the University of Guyana,http://ciug.uog.edu.gy/,yes,Georgetown,https://m.facebook.com/guyanaciug/?ref=page_internal&mt_nav=0,5/19/2014,,
Hong Kong,Confucius Institute of Hong Kong,http://www.ci-ntu.com/,yes,Kowloon,,6/28/1905,,
Hungary,Confucius Institute at Eötvös Loránd University,http://www.konfuciuszintezet.hu/,yes,Budapest,https://www.konfuciuszintezet.hu/index.php?menu=elerhetosegunk&almenu=bemutatkozas,12/7/2006,,
Hungary,Confucius Institute at University of Szeged,http://www.konfuciuszintezet.u-szeged.hu/,yes,Szeged,,8/1/2012,,
Hungary,Confucius Institute at University of Miskolc,http://konfuciusz.uni-miskolc.hu/index.php/HU/,yes,Miskolc ,,8/1/2013,,
Hungary,Confucius Institute for Traditional Chinese Medicine at University of Pecs,http://konfuciusz.etk.pte.hu/,yes,Pécs,http://en.people.cn/n3/2019/1120/c90000-9634079.html,3/27/2015,,
Hungary,Confucius Institute at University of Debrecen,https://konfuciusz.unideb.hu/,yes,Debrecen,https://www.globaltimes.cn/content/1170291.shtml,11/15/2019,,
Iceland,Northern Light Confucius Institute,http://www.hi.is/,yes,Reykjavík,"https://konfusius.is/
https://english.hi.is/news/a_new_contract_on_northern_light",5/1/2008,,
India,Confucius Institute at University of Mumbai,https://chinese.mu.ac.in/,yes,Mumbai,"https://www.globaltimes.cn/content/1196953.shtml
https://scroll.in/latest/969390/china-asks-india-to-treat-confucius-institutes-teaching-mandarin-in-fair-manner-amid-review",7/18/2013,,
India,Confucius Institute at VIT University,http://www.vit.ac.in/,probably,Tamil Nadu,,4/6/2009,,
India,Chinese Language Teaching Center at Lovely Professional University,http://zhuanti.hanban.org/videolist/?cat=667&tag=en,probably,Jalandhar,https://www.facebook.com/LPUUniversity/posts/lpus-first-chinese-language-classes-are-hereto-teach-students-who-aspire-to-atta/10157600610026590/,7/11/1905,,
India,Taiwan Education Center at O.P. Global University,http://zhuanti.hanban.org/videolist/?cat=668&tag=en,yes,Sonipat,"https://jgu.edu.in/jsia/taiwan-education-centre/
https://www.facebook.com/TECJGU/",8/1/2011,,
India,School of Chinese Language in Kolkata,,unlikely,Kolkata,https://www.zhongwen.in/introduction.html,7/16/2008,,
India,Bharathiar University,,unlikely,Coimbatore,https://www.outlookindia.com/newswire/story/confucius-centre-in-bharathiar-varsity/558321,,,
India,"KR Mangalam University, Gurugram",,unlikely,,,8/12/2019,,
India,Taiwan Education Center (TEC) at Chitkara University,,maybe,,"https://www.roc-taiwan.org/in_en/post/4236.html
https://www.chitkara.edu.in/news/taiwan-education-center-inaugurated-at-chitkara-university-punjab/",12/12/2019,,
Indonesia,Mandarin Language Center (PBM) at University of Al Azhar Indonesia,,yes,Jakarta,"https://china.uai.ac.id/
https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf",7/2/1905,,
Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Malang,,yes,Malang,"http://oia.um.ac.id/chinesecourse2021/
https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf",7/2/1905,,
Indonesia,Pusat Bahasa Mandarin at Maranatha Christian University,http://www.maranatha.edu/,yes,Bandung,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://www.facebook.com/pbm.maranatha/
https://indonesiaatmelbourne.unimelb.edu.au/chinas-confucius-institutes-in-indonesia-walking-a-fine-line/",7/2/1905,,
Indonesia,Pusat Bahasa Mandarin at Universitas Negeri Surabaya,http://www.unesa.ac.id/,yes,Surabaya,https://republika.co.id/berita/165423/unhasuniversitas-nanchang-dirikan-pusat-bahasa-mandirin,5/19/2011,,
Indonesia,Pusat Bahasa Mandarin at Tanjungpura University,http://www.untan.ac.id/,maybe,Pontianak,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://www.kalimantan-news.com/untan-universitas-guangxi-dirikan-pusat-bahasa-mandarin/",3/22/2011,,
Indonesia,Pusat Bahasa Mandarin at Hasanuddin University,http://www.unhas.ac.id/,yes,Makassar,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://indonesiaatmelbourne.unimelb.edu.au/chinas-confucius-institutes-in-indonesia-walking-a-fine-line/
http://ilmubudaya.unhas.ac.id/mandarin/",2/22/2011,,
Indonesia,Confucius Institute at Universitas Sebelas Maret,http://zhuanti.hanban.org/videolist/?cat=669&tag=en,yes,Surakarta,https://uns.ac.id/en/welcoming-chinese-new-year-confucius-institute-uns-conducts-limited-celebration/,3/11/2019,,
Indonesia,Tourism Confucius Institute at Udayana University,http://zhuanti.hanban.org/videolist/?cat=792&tag=en,yes,Kuta Selatan,,4/8/2021,,
Iran,Confucius Institute at University of Tehran,http://www.ut.ac.ir/,maybe,Tehran,https://ut.ac.ir/en/news/17503/chinese-cultural-attach-meets-with-ut-vice-president-for-international-affairs,1/12/2009,,
Iran,Confucius Institute at the University of Mazandaran,http://zhuanti.hanban.org/videolist/?cat=666&tag=en,unlikely,Babolsar,"http://english.gzhu.edu.cn/info/1025/1847.htm
http://en.umz.ac.ir/index.aspx?siteid=122&fkeyid=&siteid=122&pageid=3028",5/4/2019,,
Ireland,Confucius Institute at University College Cork in Ireland,http://english.hanban.org/node_8814_2.htm,yes,Cork,https://www.ucc.ie/en/asian/confucius/,6/29/1905,,
Ireland,"Confucius Institute at University College Dublin, Ireland",http://english.hanban.org/node_8815.htm,yes,Dublin,https://www.thetimes.co.uk/article/ucd-renews-commitment-to-chinese-confucius-institute-xc8l8gr6z,6/28/1905,,
Ireland,Chinese and Regenerative Medicine Confucius Institute at National University of Ireland Galway,http://zhuanti.hanban.org/videolist/?cat=714&tag=en,maybe,Galway,,2/1/2019,,
Israel,Confucius Institute at Tel Aviv University,http://www.tau.ac.il/,yes,Tel Aviv,https://humanities.tau.ac.il/confucius,5/1/2007,,
Israel,Confucius Institute at Hebrew University of Jerusalem,http://new.huji.ac.il/,maybe,Jerusalem,https://savethewest.com/op-ed-how-does-israels-relationship-with-china-differ-from-americas/,5/20/2014,,
Italy,Confucius Institute at Sapienza University of Rome,http://it-uniroma1-confuciusinstitute.it.chinesecio.com/,yes,Rome,https://www.globaltimes.cn/content/1183021.shtml,9/29/2006,,
Italy,Confucius Institute at Oriental University of Napoli,http://www.confucio.unior.it/,yes,Naples,"http://english.sina.com/china/1/2007/1220/137974.html
https://www.istitutoconfucio.it/",12/20/2007,,
Italy,Confucius Institute in Pisa,http://www.confuciopisa.sssup.it/,yes,Pisa,"http://www.china.org.cn/learning_chinese/news/2008-10/24/content_16662520.htm
https://www.santannapisa.it/en/confucius-institute/confucius-institute",10/23/2008,,
Italy,Confucius Institute at University of Turin,http://www.istitutoconfucio.torino.it/,yes,Turin,"http://www.china.org.cn/learning_chinese/news/2008-10/24/content_16662520.htm
https://istitutoconfucio.torino.it/",10/22/2008,,
Italy,Confucius Institute at the University of Bologna,http://www.istitutoconfucio.unibo.it/,yes,Bologna,https://site.unibo.it/istitutoconfucio/en,5/2/2009,,
Italy,Confucius Institute at the University of Florence,http://www.istitutoconfucio.unifi.it/,yes,Florence,https://www.istitutoconfucio.unifi.it/,3/31/2014,,
Italy,Confucius Institute at Ca’ Foscari University of Venice,http://www.confuciovenezia.it/,maybe,Venice,"https://www.unive.it/pag/31587
http://chinesestudies.eu/?page_id=1311
http://www.iuav.it/INTERNATIO/STUDENT-LI/news/2021/Iuav-parti/index.htm",9/22/2008,,
Italy,Confucius Institute at the University of Padova,http://www.unipd-org.it/istitutoconfucio,yes,Padova,https://www.istitutoconfuciopadova.it/new/,4/3/2009,,
Italy,Confucius Institute at the University of Milan,http://it-unimi-confuciusinstitute.it.chinesecio.com/,yes,Milan,https://www.istitutoconfucio.unimi.it/,7/1/1905,,
Italy,Confucius Institute at Catholic University of the Sacred Heart,,yes,Milan,https://istitutoconfucio.unicatt.it/,7/1/1905,,
Italy,Confucius Institute at University of Macerata,http://www.confucio.unimc.it/,yes,Macerata,http://confucio.unimc.it/it/istituto,10/4/2011,,
Italy,Confucius Institute at University of Enna “Kore”,http://istitutoconfucio.unikore.it/,yes,Enna,"https://istitutoconfucio.unikore.it/
https://istitutoconfucio.unikore.it/index.php/2017/01/12/inauguration-of-the-confucius-institute-enna/",10/25/2016,,
Ivory Coast,Confucius Institute at University of Felix Houphouette Boigny,,yes,Côte d'Ivoire,,7/7/1905,,
Jamaica,"Confucius Institute at the University of the West Indies, Mona Campus",http://www.hanban.org/confuciousinstitutes/node_6683.htm,yes,Kingston,http://ices.tyut.edu.cn/info/1075/2913.htm,7/19/2010,,
Japan,Confucius Institute at Ritsumeikan,http://www.ritsumei.ac.jp/confucius/,yes,Kyoto,https://tfiglobalnews.com/2021/06/07/japan-is-shutting-down-chinas-confucius-institutes-for-preaching-pro-ccp-propaganda/,6/28/2005,,
Japan,Confucius Institute at J. F. Oberlin University,http://www.obirin.ac.jp/kongzi/,yes,Machida,,6/28/1905,,
Japan,Confucius Institute at Hokuriku University,http://extension.hokuriku-u.ac.jp/koushi/,yes,Kanazawa,https://iec.hokuriku-u.ac.jp/en/26.html,4/4/2006,,
Japan,Confucius Institute at Aichi University,http://extension.aichi-u.ac.jp/koushi/,maybe,Ishikawa ,"http://extension.aichi-u.ac.jp/koushi/info/Com0000370.html
http://extension.aichi-u.ac.jp/koushi/info/Com0000370.html",2/24/2006,,
Japan,Confucius Institute at Sapporo University,http://www.sapporo-koshi.jp/,yes,Sapporo,http://www.sapporo-koshi.jp/,8/3/2006,,
Japan,Confucius Institute at Ritsumeikan Asia Pacific University,http://apu-confucius.com/,yes,Beppu,"https://en.apu.ac.jp/home/society/content9/
http://apu-confucius.com/",10/25/2006,,
Japan,Chinese Medicine Confucius Institute at Hyogo College of Medicine,http://www.corp.hyo-med.ac.jp/confucius.html,yes,Nishinomiya,"https://www.corp.hyo-med.ac.jp/confucius.html
https://m.cucas.cn/mobile_news/detail?id=6062",12/10/2012,,
Japan,Confucius Institute at Waseda University,http://english.hanban.org/node_10746.htm,yes,Tokyo,https://waseda-wci.jp/,4/12/2007,,
Japan,Confucius Institute at Okayama Shoka University,http://www.osu.ac.jp/koushi/,yes,Okayama,https://okayama-koushi.com/,11/25/2007,,
Japan,Confucius Institute at Osaka Sangyo University,http://www.osu-confucius.jp/,unlikely,Daito,"http://www.osu-confucius.jp/about_confusius/index.html
https://www.coha.org/big-dragon-on-campus-chinas-soft-power-play-in-academia/",11/26/2007,,
Japan,Confucius Institute at Fukuyama University,http://www.ateneoconfucius.com/,maybe,Fukuyama,http://english.scnu.edu.cn/a/20200104/305.html,11/16/2007,,
Japan,Confucius Institute at Kogakuin University,http://cik.kogakuin.ac.jp/,no,,,1/22/2008,,
Japan,Confucius Institute at Kansai Gaidai University,http://www.kansaigaidai.ac.jp/special/confucius/,yes,Hirakata,https://www.kansaigaidai.ac.jp/special/confucius/,9/22/2009,,
Japan,Confucius Institute at Musashino University,http://www.musashino-u.ac.jp/confucius/,yes,Nishitokyo,,4/1/2016,,
Japan,Confucius Institute at Yamanashi Gakuin University,http://zhuanti.hanban.org/videolist/?cat=665&tag=en,yes,Kofu,https://www.ygu.ac.jp/confucius/,5/12/2019,,
Jordan,Amman TAG-Confucius Institute,http://www.tagconfucius.com/,yes,Amman,,9/1/2008,,
Jordan,Confucius Institute at Philadelphia University,http://english.hanban.org/node_37491.htm,maybe,Amman,"https://www.philadelphia.edu.jo/centers/confucius/
https://www.philadelphia.edu.jo/ar/news/2024-2021-06-28-10-15-00",9/16/2012,,
Kazakhstan,Confucius Institute at L. N. Gumilyov Eurasian National University,http://english.hanban.org/node_10804.htm,unlikely,Astana,"https://www.synergymediaspecialists.com/l-n-gumilyov-eurasian-national-university-the-center-of-eurasian-ideas/
https://ff.enu.kz/subpage/kafedra-kitajskoj-filologii
https://www.enu.kz/en/info/news/56924/?sphrase_id=2931100",12/1/2007,,
Kazakhstan,Confucius Institute at Kazakh National University,http://english.hanban.org/node_10803.htm,maybe,Almaty,http://faoffice.lzu.edu.cn/col_express/202007/189DA061A418BB8E751A1E732ABB726F.htm,2/23/2009,,
Kazakhstan,Confucius Institute at K. Zhubanov Aktobe Regional State University,http://english.hanban.org/node_37912.htm,unlikely,Aktobe,"http://zhubanov.edu.kz/en/pages/international-cooperation/international-cooperation.php
http://kongziyjy.org/plus/view.php?aid=1461",,,
Kazakhstan,Confucius Institute at Karaganda State Technical University,http://english.hanban.org/node_42166.htm,yes,Karaganda,http://zh-hant.kstu.kz/,11/27/2012,,
Kazakhstan,Confucius Institute at Kazakh Ablai Khan University of International Relations and World Languages,http://www.ablaikhan.kz/,maybe,Almaty,https://www.ablaikhan.kz/en/component/content/article/60-root-category-english-articles/news/university/1038-center-for-confucius-on-the-basis-of-kazakh-ablai-khan-university-of-international-relations-and-world-languages.html,4/24/2017,,
Kenya,Confucius Institute at the University of Nairobi,http://www.uonbi.ac.ke/,yes,Nairobi,https://confucius.uonbi.ac.ke/,12/19/2005,,
Kenya,Confucius Institute at Kenyatta University,http://www.ku.ac.ke/,yes,Nairobi,http://confucius.ku.ac.ke/,12/1/2008,,
Kenya,Confucius Institute at Egerton University,http://www.egerton.ac.ke/,yes,Njoro,"https://www.egerton.ac.ke/confucius-institute
http://coieen.njau.edu.cn/Confucius_Institute.htm",7/1/2012,,
Kenya,Confucius Institute at Moi University,http://english.hanban.org/node_44733.htm,yes,Nairobi,https://www.mu.ac.ke/index.php/en/about-moi-university/global-collaborations-and-linkages.html,1/30/2015,,
South Korea,Confucius Institute at Woosuk University,http://english.hanban.org/node_10825.htm,maybe,Jeonju ,https://onekoreanetwork.com/2020/09/22/confucius-institute-part-2/,2/1/2009,,
South Korea,Confucius Institute at Cheju Halla College,http://www.halla-c.ac.kr/main.html,maybe,Jeju City,https://www.chu.ac.kr/xboard/view.php?cms=&board_id=bWFpbl9lbmdfbm4=&sel_type=1&s_t=&s_w=&s_c=&key=&keyword=confucius&p=3&category=&no=335,4/1/2009,,
South Korea,Confucius Institute at the University of Incheon,http://www.inu.ac.kr/user/indexMain.do?siteId=ciui,yes,Incheon,http://www.inu.ac.kr/user/indexMain.do?siteId=ciui,8/28/2009,,
South Korea,Confucius Institute in Seoul,http://www.cis.or.kr/,maybe,,,11/21/2004,,
South Korea,Confucius Institute at Woosong University,http://gongja.wsu.ac.kr/,yes,Daejeon,https://gongja.wsu.ac.kr:444/main/index.jsp,11/2/2006,,
South Korea,Confucius Institute at Yonsei University,http://kongzi.yonsei.ac.kr/,yes,Seoul,,9/1/2013,,
South Korea,Confucius Institute at Chungnam National University,http://www.cicnu.ac.kr/,yes,Daejeon,https://www.cicnu.ac.kr/bbs/board.php?bo_table=notice,4/1/2007,,
South Korea,Confucius Institute at Dong-A University,http://www.gongja.ac/,???,Busan,,12/1/2006,,
South Korea,Confucius Institute at Dongseo University,http://www.dsuci.ac.kr/,yes,Busan,http://www.dongseo.ac.kr/kr/index.php?pCode=MN2000197&mode=view&idx=83911,4/1/2007,,
South Korea,Confucius Institute at Honam University,http://gongja.honam.ac.kr/,yes,Gwangju,,12/1/2006,,
South Korea,Confucius Institute at Chungbuk National University,http://gongja.cbnu.ac.kr/,yes,Cheongju,,9/1/2006,,
South Korea,Confucius Institute at Kangwon National University,http://english.hanban.org/node_10814.htm,yes,Samcheok,http://www.kangwon.ac.kr/english/selectBbsNttView.do?key=1982&bbsNo=342&nttNo=138277,4/1/2007,,
South Korea,Confucius Institute at Keimyung University,http://www.kongzi.ac.kr/,yes,Daegu,,6/27/2007,,
South Korea,Confucius Institute at Sehan University,http://english.hanban.org/node_10812.htm,maybe,Yeongam,http://eng.sehan.ac.kr/?page_id=37,11/22/2007,,
South Korea,Confucius Institute at Andong National university,http://kongzi.andong.ac.kr/,unlikely,Andong,"https://www.andong.ac.kr/main/html.do?menu_idx=216
http://kongzi.andong.ac.kr/",9/1/2012,,
South Korea,Confucius Institute at Soon Chun Hyang University,http://english.hanban.org/node_10811.htm,maybe,Asan,"https://labs.sch.ac.kr/department/china.php
https://labs.sch.ac.kr/bbs/bbs/board.php?bo_table=chinaNews&wr_id=15",9/28/2007,,
South Korea,Confucius Institute at Daejin University,http://www.daejin-c.org/index.php,maybe,Pocheon,"https://sacbu.com/university/hrbnu/lecture-chinese-colors
https://sacbu.com/university/hrbnu/chinese-film-festival",1/14/2008,,
South Korea,Confucius Institute at Hankuk University of Foreign Studies,http://gongja.ac.kr/,yes,Seoul,https://www.gongja.ac.kr/html/05community_01notice.php,10/1/2009,,
South Korea,Confucius Institute at Kyung Hee University,http://confucius.khu.ac.kr/,yes,Yongin,,4/1/2011,,
South Korea,Confucius Institute at Wonkwang University,http://confucius.wku.ac.kr/,yes,Iksan,,9/1/2014,,
South Korea,Confucius Institute at Semyung University,http://www.semyung.ac.kr/,yes,Jecheon,http://kongzi.semyung.ac.kr/,3/18/2015,,
South Korea,Confucius Institute at Hanyang University,http://www.hanyang.ac.kr/,yes,Seoul,https://kongzi.hanyang.ac.kr/,11/1/2015,,
South Korea,Confucius Institute at Jeju National University,http://zhuanti.hanban.org/videolist/?cat=190&tag=en,yes,Jeju City,https://www.jejunu.ac.kr/ara/notice?s%5Bs%5D=subject&s%5Bq%5D=%EA%B3%B5%EC%9E%90%ED%95%99%EC%9B%90&page=1,10/28/2016,,
Kyrgyzstan,Confucius Institute at Bishkek State University,http://www.bhu.kg/home,maybe,Bishkek,http://www.bhu.kg/structure/institutes/confucius-institute,6/15/2008,,
Kyrgyzstan,Confucius Institute at Kyrgyz National University,http://english.hanban.org/node_10797.htm,yes,Bishkek,"https://akipress.com/news:57721:Confucius_Institute_to_open_at_Kyrgyz_National_University_today/
https://www.knu.kg/ky/index.php?searchword=%D0%BA%D0%BE%D0%BD%D1%84%D1%83%D1%86%D0%B8%D0%B9&ordering=&searchphrase=all&Itemid=1&option=com_search",5/14/2009,,
Kyrgyzstan,Kyrgyz-Chinese Faculty at Osh State University,http://www.oshsu.kg/,yes,Osh,"https://www.oshsu.kg/en/page/108
https://oshmed.edu.kg/two-faculties-of-osh-state-university-signed-an-agreement-with-xinjiang-pedagogical-university-of-china/
https://www.facebook.com/oshmed.edu.kg/posts/2848445905201580",2/1/2013,,
Kyrgyzstan,Confucius Institute at Jalal-Abad State University,http://www.jagu.kg/,maybe,Jalal-Abad,http://jagu.kg/view/news/id_news/7,12/26/2016,,
Laos,Confucius Institute at National University of Laos,http://www.nuol.edu.la/,yes,Vientiane,"http://www.xinhuanet.com/english/2020-10/31/c_139481455.htm
https://nuol.edu.la/index.php/%E0%BA%AA%E0%BA%B0%E0%BA%96%E0%BA%B2%E0%BA%9A%E0%BA%B1%E0%BA%99-%E0%BB%81%E0%BA%A5%E0%BA%B0-%E0%BA%AA%E0%BA%B9%E0%BA%99/2020-12-01-04-54-00",10/30/2010,,
Laos,Confucius Institute at Souphanouvong University,http://zhuanti.hanban.org/videolist/?cat=549&tag=en,maybe,Luang Prabang,https://www.su.edu.la/,7/15/2018,,
Latvia,Confucius Institute at University of Latvia,http://cilu.lv.chinesecio.com/,yes,Riga,http://www.ci.lu.lv/?cat=10&lang=en,11/4/2011,,
Lebanon,Confucius Institute at Saint-Joseph University,http://english.hanban.org/node_10794.htm,yes,Beirut,https://ci.usj.edu.lb/,6/28/1905,,
Liberia,Confucius Institute at the University of Liberia,http://english.hanban.org/node_10918.htm,yes,Monrovia,"https://ul.edu.lr/admissions/confucius-institute-university-of-liberia/
https://china.aiddata.org/projects/1661
https://www.facebook.com/Confucius-Institute-at-University-of-Liberia-113582253664745/",12/18/2008,,
Lithuania,Confucius Institute at Vilnius University,http://www.konfucijus.oc.vu.lt/,yes,Vilnius,,7/2/1905,,
Luxembourg,Confucius Institute at the University of Luxembourg,https://confucius-institute.uni.lu/,yes,Luxembourg City,https://wwwen.uni.lu/university/events/opening_of_the_confucius_institute_at_the_university_of_luxembourg,4/29/2018,,
Macedonia,Confucius Institute at SS Cyril and Methodius University,http://cyril.meth.mk.chinesecio.com/,yes,Skopje,"https://www.ucm.sk/en/confucius-institute-at-ucm/
https://e.swufe.edu.cn/INTERNATIONAL/Confucius_Institutes.htm",9/3/2013,,
Macau,Confucius Institute at University of Macau,https://fah.umac.mo/confucius-institute/,yes,Macau,https://ci.um.edu.mo/,4/16/2018,,
Madagascar,Confucius Institute at Antananarivo University,http://english.hanban.org/node_10924.htm,yes,Antananarivo,"https://www.facebook.com/Institut-Confucius-de-lUniversit%C3%A9-dAntananarivo-2111644015571322/
http://www.china.org.cn/english/education/228588.htm",11/13/2008,,
,Confucius Institute at Toamasina University,http://english.hanban.org/node_45163.htm,yes,Toamasina,"https://www.facebook.com/Institut-Confucius-de-lUniversit%C3%A9-de-Toamasina-112033703836796/
https://books.google.com/books?id=JmgREAAAQBAJ&pg=PA202&lpg=PA202&dq=Confucius+Institute+at+Toamasina+University&source=bl&ots=jAE614zu17&sig=ACfU3U0TUCcQUg8jRDpSf-OCEvwXvxHZPQ&hl=en&sa=X&ved=2ahUKEwjNlefzs5XyAhUsMlkFHaZABkUQ6AF6BAgLEAM#v=onepage&q=Confucius%20Institute%20at%20Toamasina%20University&f=false",9/19/2014,,
Malaysia,Kong Zi Institute for the Teaching of Chinese Language at University of Malaya,http://cisegi.my.chinesecio.com/,yes,Kuala Lumpur,https://www.facebook.com/KZIUM/,11/1/2009,,
Malaysia,Confucius Institute at SEGI University,http://english.hanban.org/node_45250.htm,yes,Petaling Jaya,"https://www.facebook.com/Segiconfucius/
https://segiuniversity.edu.my/exciting-programme-planned-for-confucius-institute-at-segi-university/",11/1/2015,,
Malaysia,Confucius Institute at Universiti Malaysia Sabah,http://zhuanti.hanban.org/videolist/?cat=572&tag=en,yes,Kota Kinabalu,"https://www.facebook.com/Confucius-Institute-UMS-108726743828499/
https://www.csust.edu.cn/info/1264/14050.htm
http://web.usm.my/km/39(1)2021/KM39012021_3.pdf",12/12/2019,,
Malaysia,Confucius Institute at Universiti Malaysia Pahang,http://zhuanti.hanban.org/videolist/?cat=573&tag=en,yes,Gambang,"https://ci.ump.edu.my/index.php/en/?fbclid=IwAR0yzAeJD_pP8b7np5Sz2VbCSfcXwt_2y3rgL3N8Life2JT3KeWuLv-jSBo
https://www.facebook.com/100623258174139/posts/ci-ump-hsk-online-chinese-test-chinese-proficiency-test-home-edition-registratio/189079285995202/",10/14/2019,,
Malaysia,Confucius Institute at University College of Technology Sarawak,http://zhuanti.hanban.org/videolist/?cat=788&tag=en,yes,Sibu,https://confuciusinstitute.ucts.edu.my/,12/10/2020,,
Malawi,Confucius Institute at University of Malawi,http://english.hanban.org/node_42051.htm,yes,Zomba,"http://www.ctuas.com/Article/news/id/1472440147
https://twitter.com/at_unima?lang=en",8/12/2016,,
Malta,Confucius Institute at the University of Malta,http://secure.um.edu.mt/confucius,yes,Msida,http://www.independent.com.mt/articles/2009-06-29/news/agreement-for-a-confucius-institute-at-the-university-of-malta-227024/,6/29/2009,,
Maldives,Chinese Language Center at Villa College,http://zhuanti.hanban.org/videolist/?cat=789&tag=en,maybe,Malé,"http://englishwap.hnmmc.cn/c/20170305/504716.shtml
https://www.facebook.com/villacollege.edu.mv/posts/2519150491474234",12/10/2019,,
Mali,Confucius Institute at University of Letters and Human Science of Bamako,http://zhuanti.hanban.org/videolist/?cat=673&tag=en,maybe,Bamako,"http://niarela.net/societe/education-societe/universite-des-lettres-et-des-sciences-humaines-de-bamako-inauguration-de-linstitut-confucius
https://www.dailymotion.com/video/x6ngjdu
https://curiexplore.enseignementsup-recherche.gouv.fr/files/fiches/MLI.pdf",6/30/2018,,
Mauritania,Confucius Institute at Nouakchott University,http://zhuanti.hanban.org/videolist/?cat=678&tag=en,yes,Nouakchott,"https://en.hbu.cn/HeadLines/5885.jhtml
http://oiceen.hbu.cn/NewsCenter/1549.jhtml",6/24/2019,,
Mauritius,Confucius Institute at University of Mauritius,http://zhuanti.hanban.org/videolist/?cat=384&tag=en,yes,Moka,"https://www.uom.ac.mu/confucius/
http://www.mauritiustimes.com/mt/philip-li-ching-hum-11/",12/14/2016,,
Mexico,Confucius Institute in Mexico City Huaxia,http://english.hanban.org/node_8633.htm,yes,Mexico City,"https://www.facebook.com/ciudaddemexico.institutoconfucio.3/
http://www.china.org.cn/learning_chinese/news/2010-10/11/content_21098430.htm
https://www.schoolandcollegelistings.com/MX/Benito-Juarez/1059695734047415/Instituto-Confucio-Ciudad-de-Mexico",1/1/2006,,
Mexico,Confucius Institute at Autonomous University of New Leon,http://english.hanban.org/node_8632.htm,yes,San Nicolás,"http://www.ccl.uanl.mx/instituto-confucio/
https://www.uanl.mx/noticias/celebra-uanl-primera-decada-del-instituto-confucio/
https://www.uanl.mx/eventos/clases-de-chino-mandarin/",11/24/2006,,
Mexico,Confucius Institute at Autonomous University of Yucatan,http://www.uadyglobal.uady.mx/,maybe,Mérida,"http://www.uadyglobal.uady.mx/en/index.php?modulo=contenido&id=143&tempId=238
https://yucatanmagazine.com/more-students-in-merida-learning-mandarin-as-interest-in-china-grows/",6/30/1905,,
Mexico,Confucius Institute at National Autonomous University of Mexico,http://www.uadyglobal.uady.mx/en/index.php?modulo=contenido&id=143&tempId=238,yes,Mexico City,"https://www.facebook.com/institutoconfucioenlaunam2018/?ref=page_internal
https://china.unam.mx/2019/06/21/crece-interes-por-aprender-chino-en-la-unam/
https://enallt.unam.mx/lenguas/cursos-lenguas-centros-extension
http://ciencia.unam.mx/leer/729/en-ciencia-joven-hablar-chino-una-puerta-a-lo-laboral-y-una-experiencia-de-vida",11/12/2008,,
Mexico,Confucius Institute at Autonomous University of Chihuahua,http://www.uach.mx/,yes,Chihuahua,"https://uach.mx/instituto-confucio/
https://www.facebook.com/institutoconfucio.uach
https://www.schoolandcollegelistings.com/MX/Chihuahua/736435929802913/Instituto-Confucio-Uach",6/28/1905,,
Moldova,Confucius Institute at Free International University of Moldova,http://english.hanban.org/node_10619.htm,maybe,Chișinău,"https://www.facebook.com/Confucius-Institute-in-the-Republic-of-Moldova-691897657505796/
http://cci.ulim.md/confucius-institute
https://www.moldpres.md/en/news/2020/01/23/20000571",9/29/2009,,
Mongolia,Confucius Institute at National University of Mongolia,http://num.edu.mn/,yes,Ulaanbaatar,"http://en.people.cn/90001/90782/90873/6402451.html
https://www.facebook.com/profile.php?id=100057483428653
https://news.num.edu.mn/?s=%D0%9A%D2%AF%D0%BD%D0%B7",5/2/2008,,
Mongolia,Confucius Institute at Mongolian State University of Education,http://www.msue.edu.mn/,maybe,Ulaanbaatar,"https://www.pressreader.com/mongolia/the-ub-post/20190826/281522227748660
https://mongol.china.com/news/3639/20160201/564676.html
http://www.elselt.mn/o/148
https://web.msue.edu.mn/Category/Post/6d61b781-148f-40c9-ae30-4dd5c1aa6d2f",7/2/1905,,
