Location,Partner Uni,Country,index,Status
University of Idaho,South China University of Technology,United States,59,Closed
Community College of Denver,University of Jinan,United States,60,Closed
Emory University,Nanjing University,United States,61,Closed
Middle Tennessee State University,Hangzhou Normal University,United States,62,Closed
University of Nebraska Lincoln,Xi`an Jiaotong University,United States,63,Closed
Rutgers University,Jilin University,United States,64,Closed
Wayne State University,Huazhong University of Science and Technology,United States,65,Closed
Portland State University,Soochow University,United States,66,Closed
Central Connecticut State University,Shandong Normal University,United States,67,Closed
Western Michigan University,Beijing Language and Culture University,United States,68,Closed
University of Kentucky,Shanghai University,United States,69,Closed
University of South Carolina,Beijing Language and Culture University,United States,70,Closed
Colorado State Universityy,Hunan University,United States,71,Closed
Stony Brook University,Zhongnan University of Economics and Law,United States,72,Closed
University of New Hampshire,Chengdu University,United States,73,Closed
Tufts University,Beijing Normal University,United States,74,Closed
Bryant University,"China University of Geosciences, Wuhan",United States,75,Closed
University of Southern Maine,Dongbei University of Finance and Economics,United States,76,Closed
College of William and Mary ,Beijing Normal University,United States,77,Closed
Alabama A&M University,Nanjing Forestry University,United States,78,Closed
West Virginia University,Tianjin University Of Finance & Economics,United States,79,Closed
Columbia University,Renmin University of China,United States,80,Closed
Michigan State University,The Open University of China (China Central Radio and TV University),United States,81,Closed
University of Wisconsin-Platteville,South-Central University For Nationalities,United States,82,Closed
Binghamton University,National Academy of Chinese Theatre Arts,United States,83,Closed
Cleveland State University,Capital University of Economics and Business,United States,84,Closed
University at Buffalo,Capital Normal University,United States,85,Closed
Temple University,Zhejiang Normal University,United States,86,Closed
George Washington University,Xiamen University,United States,87,Closed
Valparaiso University,Zhejiang University of Technology,United States,88,Closed
University of Central Arkansas,East China Normal University,United States,89,Closed
Northwest Nazarene University,Northwest University of Xi'an,United States,90,Closed
Xavier University,Hebei University,United States,91,Closed
University of Akron,Henan University,United States,92,Closed
University of California Santa Barbara,Shandong University,United States,93,Closed
New Jersey City University,Jilin HuaQiao University of Foreign Languages,United States,94,Closed
SUNY Albany,Southwestern University of Finance and Economics,United States,95,Closed
SUNY Global Center,Nanjing University Of Finance & Economics,United States,96,Closed
SUNY College of Optometry,Wenzhou Medical University,United States,97,Closed
Medgar Evers College,Hunan University of Technology and Business,United States,98,Closed
Presbyterian College,Guizhou University,United States,99,Closed
Chicago Public Schools,East China Normal University,United States,100,Closed
Houston Independent School District,,United States,101,Closed
Baruch University,Shanghai International Studies University,United States,102,Closed
Troy University,Hebei Normal University of Science and Technology,United States,103,open
Alabama A&M University,Nanjing Forestry University,United States,104,open
San Diego Global Knowledge University,Xiamen University,United States,105,open
Stanford University,Peking University,United States,106,open
Wesleyan College,Guangzhou University,United States,107,open
Valparaiso University ,Zhejiang University of Technology,United States,108,open
St. Cloud State University ,The Education Department of Jilin Province,United States,109,open
Webster University ,Beijing Language and Culture University,United States,110,open
Alfred University,"China University of Geosciences, Wuhan",United States,111,open
"University of Akron (will close June 30, 2022)",Henan University,United States,112,open
University of Toledo,Yanshan University,United States,113,open
Bryant University ,China University of Geosciences，Wuhan,United States,114,open
University of Utah,Sichuan University,United States,115,open
Southern Utah University,Hunan Normal University,United States,116,open
Pacific Lutheran University,"Sichuan University, Chongqing Education Commission",United States,117,open
China Institute,East China Normal University,United States,118,open
East Central Ohio Educational Service Center,Unknown,United States,119,open
Davis School Disrict,Unknown,United States,120,open
Simpson County Schools,Unknown,United States,121,open
