,survey_year,country,id,id_survey,regional_location,qdate_s,sex,male,age,d_hhpeople,d_adult_us,wealthy,political_affiliation,religious_affiliation,education_level,us_econ_power,china_econ_power,japan_econ_power,eu_econ_power,other_econ_power,prefer_us_econ,prefer_china_econ,children_betteroff,confid_uspres: How much confidence you have in the U.S. President to do the right thing regarding world affairs? ,confid_uspres,us_threat,china_threat,fav_us,fav_china,fav_russia,country_satis,satisfied_democracy,confid_xi,confid_putin,econ_sit,religion_import,respect_china,respect_us,improve_econ,intthreat_econcondition,us_relationship,china_econ,china_military,"children_betteroff: When children today in (survey country) grow up, do you think they will be better off or worse off financially than their parents?",fav_us: I am _____ to  the U.S. ,fav_china: I am _____  to  China,fav_russia: I am _____  to  Russia,country_satis: How satisfied are you with the way things are going in our country today?,satisfied_democracy: How satisfied are you with the way democracy is working in our country?,confid_xi: How much confidence you have in Xi to do the right thing regarding world affairs? ,confid_putin: How much confidence you have in Putin  to do the right thing regarding world affairs? ,econ_sit: Describe the current economic situation in (survey country) ,econ_power: What is the world's leading economic power?,us_or_china: Is it more important for (survey country) to have strong economic ties with China or the United States?,religion_import: How important is religion in your life? ,respect_china: Does the government of China respects the personal freedoms of its people?,respect_us: Does the government of the US respects the personal freedoms of its people?,us_threat: Is the U.S.'s power and influence a threat to your country?,china_threat: Is China's power and influence a threat to your country?,improve_econ: How do you expect the economic condition to change in the next 12 months?,intthreat_econcondition: Is the condition of the global economy a threat to your country?,us_relationship: How would you describe your relationship with the U.S.?,china_econ: Do you think that China’s growing economy is a good thing for (survey country)?,china_military: Do you think that China’s growing military power is a good thing for (survey country)?,global_trade: Is trade and business ties between (survey country) and other countries a good thing or a bad thing for (survey country)?,global_movement: Is the movement of people between (survey country) and other countries a good thing or a bad thing for (survey country)?,global_information: Is the availability of news and information from other countries a good thing or a bad thing for (survey country)?,china_jobloss: Is the loss of U.S. jobs to China a serious problem?,china_deficit: Is the U.S. trade deficit with China a serious problem?,china_taiwan: Are tensions between China and Taiwan  a serious problem?,china_environ: Is China's impact on the global environment a serious problem?,china_debt: Is  the large amount of American debt that is held by China a serious problem?,china_terrdisputes: Are territorial disputes between China and neighboring countries a serious problem?,"us_def_china: If (survey country) and China got into a serious military conflict, do you think that the United States would use military force to defend our country?",china_econ_military: Does China's economic or military strength concern you more?,us_world_role: How does the U.S.'s role today compare to their role as a world leader 10 years ago?,world_role_china: How does China's role today compare to their role as a world leader 10 years ago?,world_role_russia: How does Russia's role today compare to their role as a world leader 10 years ago?,usrel_betterworse: How have relations between (survey country) and the U.S. changed over the past year?,involved_us: Is the U.S. helping to address major global problems?,influaffairs_russia: Do you think Russia tries to influence the internal affairs of other countries?,"interest_surveycountry: In making international policy decisions, to what extent do you think the U.S. takes into account the interests of (survey country)?",econ_ties_china: Describe current economic ties between (survey country) and China.,econ_ties_us: Describe current economic ties between (survey country) and the U.S.,foreign_threats: What country or group poses the greatest threat to (survey country) in the future?,foreign_allies: What country can (survey country) most rely on as a dependable ally in the future?,foreigncom_buy: How do foreign companies buying (survey country) companies impact (survey country)?,foreigncom_new: How do foreign companies building new factories impact (survey country)?,china_invest: How do you view investment from China?,future_usrel: How do you feel about (survey country)  relations with the U.S.,russia_relationship: Is it more important to have a close relationship to Russia or to the U.S.? ,us_mil_asia: How has the U.S. military presence in the Asia-Pacific region affected the (survey country)?,"china_us_enemy: Do you think of China as a partner, competitor or enemy of the U.S.?",econsys_reform: Do you think that the economic system of (survey country) needs to be reformed?,china_tough_econ: Is it more important to be tough on China's territorial disputes or build a strong economic relationship with them?,russia_threat: Is Russia's power and influence a threat to your country?,china_influence: How much influence does the China exert on other countries?,us_influence: How much influence does the U.S. exert on other countries?,polsys_reform: Do you think that the political system of (survey country) needs to be reformed?,econ_ties_usch: How do you view current economic ties between the U.S. and China?,adm1,adm1_id,month
10120,2021,Australia,10121,3001938,Victoria,3/15/21,Male,1,53,4,2,,Liberal-National Party/Country Liberal Party/Liberal,Christian,Year 10 or equivalent (School Certificate SC or equivalent) (usually 16 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,3,1,,,2.0,1,1,4,1,0.0,0.0,,,4.0,,,Worse off,Somewhat favorable,Very unfavorable,,,Not too satisfied,No confidence at all,No confidence at all,Very good,,China,Not at all important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10121,2021,Australia,10122,3002121,Queensland,3/26/21,Male,1,66,4,2,,Labor,Agnostic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,2,1,,,2.0,2,1,2,1,0.0,1.0,,,3.0,,,Worse off,Somewhat unfavorable,Very unfavorable,,,Not too satisfied,Not too much confidence,No confidence at all,Somewhat bad,,China,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs major changes,,,,,It needs minor changes,,Queensland,AU-QLD,3
10122,2021,Australia,10123,3002163,Victoria,3/24/21,Female,0,60,6,4,,The Greens,Atheist,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,3.0,A lot of confidence,4,,,1,1,,,2.0,1,1,2,1,0.0,1.0,,,3.0,,,Better off,Very unfavorable,Very unfavorable,,,Not too satisfied,No confidence at all,No confidence at all,Somewhat bad,,The United States,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,Victoria,AU-VIC,3
10123,2021,Australia,10124,3002223,New South Wales,3/15/21,Female,0,42,4,2,,Labor,Atheist,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,0.0,3.0,Some confidence,3,,,1,2,,,4.0,2,2,4,1,0.0,0.0,,,3.0,,,Better off,Very unfavorable,Somewhat unfavorable,,,Very satisfied,Not too much confidence,Not too much confidence,Very good,,Economic ties to both countries are equally important,Not at all important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,New South Wales,AU-NSW,3
10124,2021,Australia,10125,3002291,"Queensland (QLD), excluding Brisbane",3/22/21,Female,0,74,4,2,"$79,000 or less",Labor,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,3.0,Some confidence,3,,,3,2,,,3.0,2,3,2,3,0.0,8.0,,,3.0,,,Better off,Somewhat favorable,Somewhat unfavorable,,,Somewhat satisfied,Not too much confidence,Some confidence,Somewhat bad,,The United States,Somewhat important,"No, does not respect personal freedoms",Don't know,,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,Queensland,AU-QLD,3
10125,2021,Australia,10126,3002315,"Victoria (VIC), excluding Melbourne",3/22/21,Female,0,20,4,2,,Labor,Atheist,Year 11 or equivalent (usually 17 years old),,,,,,0.0,1.0,1.0,Not too much confidence,2,,,1,1,,,2.0,1,1,2,1,0.0,0.0,,,2.0,,,Worse off,Very unfavorable,Very unfavorable,,,Not too satisfied,No confidence at all,No confidence at all,Somewhat bad,,China,Not at all important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat bad,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10126,2021,Australia,10127,3002327,"New South Wales (NSW), excluding Sydney",3/18/21,Female,0,89,4,2,,Liberal-National Party/Country Liberal Party/Liberal,Catholic,Year 9 or equivalent (usually 15 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,3,3,,,4.0,3,1,3,4,0.0,1.0,,,3.0,,,Worse off,Somewhat favorable,Somewhat favorable,,,Very satisfied,Some confidence,No confidence at all,Somewhat good,,The United States,Very important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It doesn’t need to be changed,,New South Wales,AU-NSW,3
10127,2021,Australia,10128,3002403,"New South Wales (NSW), excluding Sydney",3/22/21,Female,0,85,3,1,,Liberal Democratic Party (LDP),Protestant,Year 10 or equivalent (School Certificate SC or equivalent) (usually 16 years old),,,,,,1.0,0.0,3.0,Some confidence,3,,,4,1,,,4.0,1,1,4,3,0.0,1.0,,,4.0,,,Better off,Very favorable,Very unfavorable,,,Very satisfied,No confidence at all,No confidence at all,Very good,,The United States,Somewhat important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Great deal,,,,,,,,,,,,It doesn’t need to be changed,,,,,It doesn’t need to be changed,,New South Wales,AU-NSW,3
10128,2021,Australia,10129,3002411,"Tasmania (TAS), excluding Hobart",3/18/21,Female,0,44,4,2,,Labor,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,2,2,,,4.0,2,3,3,2,0.0,0.0,,,3.0,,,Worse off,Somewhat unfavorable,Somewhat unfavorable,,,Very satisfied,Not too much confidence,Some confidence,Somewhat good,,The United States,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,Tasmania,AU-TAS,3
10129,2021,Australia,10130,3002557,"Queensland (QLD), excluding Brisbane",3/22/21,Male,1,66,3,1,,Liberal-National Party/Country Liberal Party/Liberal,,Year 11 or equivalent (usually 17 years old),,,,,,0.0,0.0,1.0,A lot of confidence,4,,,4,1,,,4.0,1,2,8,1,0.0,1.0,,,4.0,,,Worse off,Very favorable,Very unfavorable,,,Very satisfied,No confidence at all,Not too much confidence,Don't know,,Economic ties to both countries are equally important,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It doesn’t need to be changed,,,,,It doesn’t need to be changed,,Queensland,AU-QLD,3
10130,2021,Australia,10131,3002582,Australian Capital Territory (ACT),3/23/21,Male,1,25,8,6,,Labor,Atheist,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,2,1,,,3.0,3,1,3,1,0.0,1.0,,,3.0,,,Worse off,Somewhat unfavorable,Very unfavorable,,,Somewhat satisfied,Some confidence,No confidence at all,Somewhat good,,China,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs minor changes,,Australian Capital Territory,AU-ACT,3
10131,2021,Australia,10132,3002584,Tasmania,3/18/21,Female,0,36,4,2,,The Greens,,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,1,2,,,2.0,3,3,2,1,1.0,1.0,,,2.0,,,Worse off,Very unfavorable,Somewhat unfavorable,,,Not too satisfied,Some confidence,Some confidence,Somewhat bad,,The United States,Not at all important,"Yes, respects personal freedoms","Yes, respects personal freedoms",,,,,Somewhat bad,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,It needs major changes,,,,,It needs to be completely reformed,,Tasmania,AU-TAS,3
10132,2021,Australia,10133,3002744,Australian Capital Territory (ACT),4/1/21,Female,0,Refused,4,2,"More than $79,000",Refused,Protestant,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,3.0,Some confidence,3,,,4,2,,,4.0,2,2,4,3,0.0,1.0,,,4.0,,,Better off,Very favorable,Somewhat unfavorable,,,Very satisfied,Not too much confidence,Not too much confidence,Very good,,The United States,Somewhat important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Great deal,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,Australian Capital Territory,AU-ACT,4
10133,2021,Australia,10134,3003068,New South Wales,4/8/21,Female,0,62,6,4,,The Greens,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,1,1,,,1.0,2,1,3,2,0.0,0.0,,,3.0,,,Worse off,Very unfavorable,Very unfavorable,,,Not at all satisfied,Not too much confidence,No confidence at all,Somewhat good,,China,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,New South Wales,AU-NSW,4
10134,2021,Australia,10135,3003297,"New South Wales (NSW), excluding Sydney",4/1/21,Female,0,50,5,3,,Christian Democratic Party (CDP),Protestant,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,1.0,0.0,1.0,Not too much confidence,2,,,3,1,,,2.0,1,2,3,4,0.0,0.0,,,3.0,,,Worse off,Somewhat favorable,Very unfavorable,,,Not too satisfied,No confidence at all,Not too much confidence,Somewhat good,,The United States,Very important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs minor changes,,New South Wales,AU-NSW,4
10135,2021,Australia,10136,3003590,"New South Wales (NSW), excluding Sydney",3/25/21,Female,0,32,5,3,,The Greens,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,0.0,8.0,Some confidence,3,,,3,3,,,3.0,1,1,3,3,0.0,1.0,,,3.0,,,Don't know,Somewhat favorable,Somewhat favorable,,,Somewhat satisfied,No confidence at all,No confidence at all,Somewhat good,,Don't know,Somewhat important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Somewhat good,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,New South Wales,AU-NSW,3
10136,2021,Australia,10137,3003661,New South Wales,4/6/21,Male,1,27,3,1,,The Greens,Agnostic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Some confidence,3,,,3,1,,,3.0,1,1,2,2,0.0,0.0,,,4.0,,,Worse off,Somewhat favorable,Very unfavorable,,,Somewhat satisfied,No confidence at all,No confidence at all,Somewhat bad,,China,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,New South Wales,AU-NSW,4
10137,2021,Australia,10138,3003787,Victoria,3/15/21,Male,1,38,4,2,,Do not feel close to any party,Catholic,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,Not too much confidence,2,,,2,2,,,1.0,2,2,3,2,0.0,0.0,,,2.0,,,Worse off,Somewhat unfavorable,Somewhat unfavorable,,,Not at all satisfied,Not too much confidence,Not too much confidence,Somewhat good,,China,Not too important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Somewhat bad,,,,,,,,,,,,,,,,,,,,Not too much,,,,,,,,,,,,It needs major changes,,,,,It needs major changes,,Victoria,AU-VIC,3
10138,2021,Australia,10139,3003842,"New South Wales (NSW), excluding Sydney",3/21/21,Female,0,64,4,2,,Liberal-National Party/Country Liberal Party/Liberal,Protestant,Year 10 or equivalent (School Certificate SC or equivalent) (usually 16 years old),,,,,,1.0,0.0,1.0,Some confidence,3,,,2,1,,,3.0,1,1,3,1,0.0,1.0,,,4.0,,,Worse off,Somewhat unfavorable,Very unfavorable,,,Somewhat satisfied,No confidence at all,No confidence at all,Somewhat good,,The United States,Not at all important,"No, does not respect personal freedoms","Yes, respects personal freedoms",,,,,Very good,,,,,,,,,,,,,,,,,,,,Fair amount,,,,,,,,,,,,It needs minor changes,,,,,It needs major changes,,New South Wales,AU-NSW,3
10139,2021,Australia,10140,3003975,Queensland,3/23/21,Male,1,36,3,1,,Liberal-National Party/Country Liberal Party/Liberal,,Year 12 or equivalent (Higher School Certificate HSC or equivalent) (usually 18 years old),,,,,,0.0,1.0,1.0,No confidence at all,1,,,3,2,,,1.0,1,1,3,1,0.0,0.0,,,1.0,,,Worse off,Somewhat favorable,Somewhat unfavorable,,,Not at all satisfied,No confidence at all,No confidence at all,Somewhat good,,China,Not at all important,"No, does not respect personal freedoms","No, does not respect personal freedoms",,,,,Very bad,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,It needs to be completely reformed,,,,,It needs to be completely reformed,,Queensland,AU-QLD,3
