id,confucius_institute,partner_uni,date_est,location_name,nearest_city,country,status,ci_webpage,sources,gl3_id,country_id
144,Confucius Institute at the University of Duesseldorf,,6/28/05,University of Duesseldorf,Dusseldorf,Germany,Closed,http://www.konfuzius-duesseldorf.de/,https://www.nspirement.com/2020/08/23/germany-has-turned-against-its-confucius-institutes.html,2651,161
145,Confucius Institute at the University of Freiburg,,6/9/09,University of Freiburg,Freiburg,Germany,Closed,https://www.ki-freiburg.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,2652,161
146,Confucius Institute at the University of Hamburg,,9/20/07,University of Hamburg,Hamburg,Germany,Closed,http://www.konfuzius-institut-hamburg.de/,https://www.nspirement.com/2020/08/23/germany-has-turned-against-its-confucius-institutes.html,2653,161
147,Confucius Institute at the University of Leipzig,,4/18/08,University of Leipzig,Leipzig,Germany,Open,http://www.konfuziusinstitut-leipzig.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,2654,161
148,Confucius Institute in Bremen,,10/23/13,Bremen,Bremen,Germany,Open,http://www.konfuzius-institut-bremen.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,369,161
149,Confucius Institute in Munich,,9/1/12,Munich,Munich,Germany,Closed,http://www.konfuzius-muenchen.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,1538,161
150,Confucius Institute in Nuremberg-Erlangen,,,Nuremberg-Erlangen,,Germany,Open,,,2655,161
151,Leibniz-Confucius Institute Hannover,,6/28/16,Leibniz- Hannover,Hannover,Germany,Closed,http://lkih.de/,,2656,161
152,Confucius Institute at the University of Cape Coast,,6/2/16,University of Cape Coast,Cape Coast,Ghana,Closed,http://english.hanban.org/node_45664.htm,https://www.facebook.com/Confucius-Institute-at-University-of-Cape-Coast-121849225138873/,78,074
153,Confucius Institute at the University of Ghana,,5/1/13,University of Ghana,Accra,Ghana,Closed,http://english.hanban.org/node_42047.htm,"https://www.facebook.com/ConfuciusInstituteattheUniversityofGhana/
http://gh.china-embassy.org/eng/zjgx/t177920.htm
http://www.xinhuanet.com/english/2020-07/08/c_139197913.htm",69,074
154,Business Confucius Institute in Athens,,7/1/05,Athens,Athens,Greece,Closed,http://www.confucius.aueb.gr/,,12,143
155,Confucius Institute at Aristotle University of Thessaloniki,,12/20/18,Aristotle University of Thessaloniki,Thessaloniki,Greece,Closed,http://zhuanti.hanban.org/videolist/?cat=725&tag=en,https://www.facebook.com/Confucius-Institute-at-AUTh-102494767975707/,138,143
156,Confucius Institute at University of Thessaly,,11/11/19,University of Thessaly,Volos,Greece,Closed,http://zhuanti.hanban.org/videolist/?cat=797&tag=en,"https://www.facebook.com/UTH.CONFUCIUS/
https://www.portseurope.com/president-xi-jinping-sees-agreement-exchange-ceremony-of-establishment-of-confucius-institute-at-university-of-thessaly/",139,143
157,Confucius Institute at Gamal Abdel Nasser University of Conakry,,8/9/19,Gamal Abdel Nasser University of Conakry,Conakry,Guinea,Closed,http://zhuanti.hanban.org/videolist/?cat=672&tag=en,https://www.facebook.com/Institut-Confucius-UGANC-102342384458994/,4,076
158,Confucius Institute at the University of Guyana,,5/19/14,University of Guyana,Georgetown,Guyana,Closed,http://ciug.uog.edu.gy/,https://m.facebook.com/guyanaciug/?ref=page_internal&mt_nav=0,51,047
159,Confucius Institute at Eotvos Lorand University,,,Eotvos Lorand University,,Hungary,Open,,,275,170
160,Confucius Institute at University of Debrecen,,11/15/19,University of Debrecen,Debrecen,Hungary,Open,https://konfuciusz.unideb.hu/,https://www.globaltimes.cn/content/1170291.shtml,276,170
161,Confucius Institute at University of Miskolc,,8/1/13,University of Miskolc,Miskolc ,Hungary,Closed,http://konfuciusz.uni-miskolc.hu/index.php/HU/,,277,170
162,Confucius Institute at University of Szeged,,8/1/12,University of Szeged,Szeged,Hungary,Closed,http://www.konfuciuszintezet.u-szeged.hu/,,278,170
163,Confucius Institute for Traditional Chinese Medicine at University of Pecs,,3/27/15,University of Pecs,Pécs,Hungary,Open,http://konfuciusz.etk.pte.hu/,http://en.people.cn/n3/2019/1120/c90000-9634079.html,279,170
164,Northern Light Confucius Institute,,5/1/08,Northern Light,Reykjavík,Iceland,Open,http://www.hi.is/,"https://konfusius.is/
https://english.hi.is/news/a_new_contract_on_northern_light",14,091
165,Bharathiar University,,,Bharathiar University,Coimbatore,India,Closed,,https://www.outlookindia.com/newswire/story/confucius-centre-in-bharathiar-varsity/558321,455,194
166,Chinese Language Teaching Center at Lovely Professional University,,7/11/05,Lovely Professional University,Jalandhar,India,Closed,http://zhuanti.hanban.org/videolist/?cat=667&tag=en,https://www.facebook.com/LPUUniversity/posts/lpus-first-chinese-language-classes-are-hereto-teach-students-who-aspire-to-atta/10157600610026590/,176,194
167,Confucius Institute at University of Mumbai,,7/18/13,University of Mumbai,Mumbai,India,Open,https://chinese.mu.ac.in/,"https://www.globaltimes.cn/content/1196953.shtml
https://scroll.in/latest/969390/china-asks-india-to-treat-confucius-institutes-teaching-mandarin-in-fair-manner-amid-review",456,194
168,Confucius Institute at VIT University,,4/6/09,VIT University,Tamil Nadu,India,Closed,http://www.vit.ac.in/,,457,194
169,"K.R. Mangalam University, Gurugram",,8/12/19,K.R. Mangalam University,Haryana,India,Closed,,,458,194
170,School of Chinese Language in Kolkata,,7/16/08,Kolkata,Kolkata,India,Closed,,https://www.zhongwen.in/introduction.html,459,194
171,Taiwan Education Center (TEC) at Chitkara University,,12/12/19,Chitkara University,,India,Closed,,"https://www.roc-taiwan.org/in_en/post/4236.html
https://www.chitkara.edu.in/news/taiwan-education-center-inaugurated-at-chitkara-university-punjab/",460,194
172,Taiwan Education Center at O.P. Global University,,8/1/11,O.P. Global University,Sonipat,India,Closed,http://zhuanti.hanban.org/videolist/?cat=668&tag=en,"https://jgu.edu.in/jsia/taiwan-education-centre/
https://www.facebook.com/TECJGU/",461,194
173,Confucius Institute at Universitas Sebelas Maret,,3/11/19,Universitas Sebelas Maret,Surakarta,Indonesia,Closed,http://zhuanti.hanban.org/videolist/?cat=669&tag=en,https://uns.ac.id/en/welcoming-chinese-new-year-confucius-institute-uns-conducts-limited-celebration/,247,216
174,Mandarin Language Center (PBM) at University of Al Azhar Indonesia,,7/2/05,University of Al Azhar Indonesia,Jakarta,Indonesia,Closed,,"https://china.uai.ac.id/
https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf",35,216
175,Pusat Bahasa Mandarin at Hasanuddin University,,2/22/11,Hasanuddin University,Makassar,Indonesia,Closed,http://www.unhas.ac.id/,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://indonesiaatmelbourne.unimelb.edu.au/chinas-confucius-institutes-in-indonesia-walking-a-fine-line/
http://ilmubudaya.unhas.ac.id/mandarin/",248,216
176,Pusat Bahasa Mandarin at Maranatha Christian University,,7/2/05,Maranatha Christian University,Bandung,Indonesia,Closed,http://www.maranatha.edu/,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://www.facebook.com/pbm.maranatha/
https://indonesiaatmelbourne.unimelb.edu.au/chinas-confucius-institutes-in-indonesia-walking-a-fine-line/",249,216
177,Pusat Bahasa Mandarin at Tanjungpura University,,3/22/11,Tanjungpura University,Pontianak,Indonesia,Closed,http://www.untan.ac.id/,"https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf
https://www.kalimantan-news.com/untan-universitas-guangxi-dirikan-pusat-bahasa-mandarin/",250,216
178,Pusat Bahasa Mandarin at Universitas Negeri Malang,,7/2/05,Universitas Negeri Malang,Malang,Indonesia,Closed,,"http://oia.um.ac.id/chinesecourse2021/
https://pdfs.semanticscholar.org/8287/c37882d1bc1725f119dda006cc32e28e12f0.pdf",251,216
179,Pusat Bahasa Mandarin at Universitas Negeri Surabaya,,5/19/11,Universitas Negeri Surabaya,Surabaya,Indonesia,Closed,http://www.unesa.ac.id/,https://republika.co.id/berita/165423/unhasuniversitas-nanchang-dirikan-pusat-bahasa-mandirin,252,216
180,Tourism Confucius Institute at Udayana University,,4/8/21,Udayana University,Kuta Selatan,Indonesia,Closed,http://zhuanti.hanban.org/videolist/?cat=792&tag=en,,253,216
181,Confucius Institute at University of Tehran,,1/12/09,University of Tehran,Tehran,Iran,Open,http://www.ut.ac.ir/,https://ut.ac.ir/en/news/17503/chinese-cultural-attach-meets-with-ut-vice-president-for-international-affairs,265,195
182,Confucius Institute at the University of Mazandaran,,5/4/19,University of Mazandaran,Babolsar,Iran,Closed,http://zhuanti.hanban.org/videolist/?cat=666&tag=en,"http://english.gzhu.edu.cn/info/1025/1847.htm
http://en.umz.ac.ir/index.aspx?siteid=122&fkeyid=&siteid=122&pageid=3028",266,195
183,Chinese and Regenerative Medicine Confucius Institute at National University of Ireland Galway,,2/1/19,National University of Ireland Galway,Galway,Ireland,Closed,http://zhuanti.hanban.org/videolist/?cat=714&tag=en,,45,087
184,Confucius Institute at University College Cork in Ireland,,6/29/05,Ireland,Cork,Ireland,Closed,http://english.hanban.org/node_8814_2.htm,https://www.ucc.ie/en/asian/confucius/,46,087
185,"Confucius Institute at University College Dublin, Ireland",,6/28/05,University College Dublin,Dublin,Ireland,Closed,http://english.hanban.org/node_8815.htm,https://www.thetimes.co.uk/article/ucd-renews-commitment-to-chinese-confucius-institute-xc8l8gr6z,47,087
186,Confucius Institute at Hebrew University of Jerusalem,,5/20/14,Hebrew University of Jerusalem,Jerusalem,Israel,Closed,http://new.huji.ac.il/,https://savethewest.com/op-ed-how-does-israels-relationship-with-china-differ-from-americas/,86,145
187,Confucius Institute at Tel Aviv University,,5/1/07,Tel Aviv University,Tel Aviv,Israel,Open,http://www.tau.ac.il/,https://humanities.tau.ac.il/confucius,87,145
188,Confucius Institute at Ca' Foscari University of Venice,,,University of Venice,,Italy,Closed,,,2133,171
189,Confucius Institute at Catholic University of the Sacred Heart,,7/1/05,Catholic University of the Sacred Heart,Milan,Italy,Closed,,https://istitutoconfucio.unicatt.it/,1120,171
190,Confucius Institute at Oriental University of Napoli,,12/20/07,University of Napoli,Naples,Italy,Closed,http://www.confucio.unior.it/,"http://english.sina.com/china/1/2007/1220/137974.html
https://www.istitutoconfucio.it/",2134,171
191,Confucius Institute at Sapienza University of Rome,,9/29/06,University of Rome,Rome,Italy,Closed,http://it-uniroma1-confuciusinstitute.it.chinesecio.com/,https://www.globaltimes.cn/content/1183021.shtml,2135,171
192,Confucius Institute at University of Enna Kore,,10/25/16,University of Enna Kore,Enna,Italy,Closed,http://istitutoconfucio.unikore.it/,"https://istitutoconfucio.unikore.it/
https://istitutoconfucio.unikore.it/index.php/2017/01/12/inauguration-of-the-confucius-institute-enna/",709,171
193,Confucius Institute at University of Macerata,,10/4/11,University of Macerata,Macerata,Italy,Closed,http://www.confucio.unimc.it/,http://confucio.unimc.it/it/istituto,2136,171
194,Confucius Institute at University of Turin,,10/22/08,University of Turin,Turin,Italy,Closed,http://www.istitutoconfucio.torino.it/,"http://www.china.org.cn/learning_chinese/news/2008-10/24/content_16662520.htm
https://istitutoconfucio.torino.it/",2137,171
195,Confucius Institute at the University of Bologna,,5/2/09,University of Bologna,Bologna,Italy,Open,http://www.istitutoconfucio.unibo.it/,https://site.unibo.it/istitutoconfucio/en,2138,171
196,Confucius Institute at the University of Florence,,3/31/14,University of Florence,Florence,Italy,Open,http://www.istitutoconfucio.unifi.it/,https://www.istitutoconfucio.unifi.it/,2139,171
197,Confucius Institute at the University of Milan,,7/1/05,University of Milan,Milan,Italy,Closed,http://it-unimi-confuciusinstitute.it.chinesecio.com/,https://www.istitutoconfucio.unimi.it/,2140,171
198,Confucius Institute at the University of Padova,,4/3/09,University of Padova,Padova,Italy,Open,http://www.unipd-org.it/istitutoconfucio,https://www.istitutoconfuciopadova.it/new/,2141,171
199,Confucius Institute in Pisa,,10/23/08,Pisa,Pisa,Italy,Open,http://www.confuciopisa.sssup.it/,"http://www.china.org.cn/learning_chinese/news/2008-10/24/content_16662520.htm
https://www.santannapisa.it/en/confucius-institute/confucius-institute",1410,171
200,Confucius Institute at University of Felix Houphouette Boigny,,7/7/05,University of Felix Houphouette Boigny,Abidjan,Cote d'Ivoire,Closed,,,2,072
201,"Confucius Institute at the University of the West Indies, Mona Campus",,7/19/10,University of the West Indies,Kingston,Jamaica,Closed,http://www.hanban.org/confuciousinstitutes/node_6683.htm,http://ices.tyut.edu.cn/info/1075/2913.htm,54,050
202,Chinese Medicine Confucius Institute at Hyogo College of Medicine,,12/10/12,Hyogo College of Medicine,Nishinomiya,Japan,Open,http://www.corp.hyo-med.ac.jp/confucius.html,"https://www.corp.hyo-med.ac.jp/confucius.html
https://m.cucas.cn/mobile_news/detail?id=6062",697,242
203,Confucius Institute at Aichi University,,2/24/06,Aichi University,Ishikawa ,Japan,Open,http://extension.aichi-u.ac.jp/koushi/,"http://extension.aichi-u.ac.jp/koushi/info/Com0000370.html
http://extension.aichi-u.ac.jp/koushi/info/Com0000370.html",698,242
204,Confucius Institute at Fukuyama University,,11/16/07,Fukuyama University,Fukuyama,Japan,Closed,http://www.ateneoconfucius.com/,http://english.scnu.edu.cn/a/20200104/305.html,699,242
205,Confucius Institute at Hokuriku University,,4/4/06,Hokuriku University,Kanazawa,Japan,Open,http://extension.hokuriku-u.ac.jp/koushi/,https://iec.hokuriku-u.ac.jp/en/26.html,700,242
206,Confucius Institute at J. F. Oberlin University in Machida Tokyo,,,Machida Tokyo,,Japan,Open,,,701,242
207,Confucius Institute at Kansai Gaidai University,,9/22/09,Kansai Gaidai University,Hirakata,Japan,Open,http://www.kansaigaidai.ac.jp/special/confucius/,https://www.kansaigaidai.ac.jp/special/confucius/,702,242
208,Confucius Institute at Kogakuin University,,1/22/08,Kogakuin University,,Japan,Closed,http://cik.kogakuin.ac.jp/,,703,242
209,Confucius Institute at Musashino University,,4/1/16,Musashino University,Nishitokyo,Japan,Open,http://www.musashino-u.ac.jp/confucius/,,704,242
210,Confucius Institute at Okayama Shoka University,,11/25/07,Okayama University,Okayama,Japan,Open,http://www.osu.ac.jp/koushi/,https://okayama-koushi.com/,705,242
211,Confucius Institute at Osaka Sangyo University,,11/26/07,Osaka Sangyo University,Daito,Japan,Open,http://www.osu-confucius.jp/,"http://www.osu-confucius.jp/about_confusius/index.html
https://www.coha.org/big-dragon-on-campus-chinas-soft-power-play-in-academia/",706,242
212,Confucius Institute at Ritsumeikan,,6/28/05,Ritsumeikan,Kyoto,Japan,Open,http://www.ritsumei.ac.jp/confucius/,https://tfiglobalnews.com/2021/06/07/japan-is-shutting-down-chinas-confucius-institutes-for-preaching-pro-ccp-propaganda/,707,242
213,Confucius Institute at Ritsumeikan Asia Pacific University,,10/25/06,Ritsumeikan,Beppu,Japan,Open,http://apu-confucius.com/,"https://en.apu.ac.jp/home/society/content9/
http://apu-confucius.com/",707,242
214,Confucius Institute at Sapporo University,,8/3/06,Sapporo University,Sapporo,Japan,Open,http://www.sapporo-koshi.jp/,http://www.sapporo-koshi.jp/,708,242
215,Confucius Institute at Waseda University,,4/12/07,Waseda University,Tokyo,Japan,Closed,http://english.hanban.org/node_10746.htm,https://waseda-wci.jp/,709,242
216,Confucius Institute at Yamanashi Gakuin University,,5/12/19,Yamanashi University,Kofu,Japan,Closed,http://zhuanti.hanban.org/videolist/?cat=665&tag=en,https://www.ygu.ac.jp/confucius/,710,242
217,Amman TAG-Confucius Institute,,9/1/08,Amman TAG-,Amman,Jordan,Closed,http://www.tagconfucius.com/,,42,146
218,Confucius Institute at Philadelphia University,,9/16/12,Philadelphia University,Amman,Jordan,Closed,http://english.hanban.org/node_37491.htm,"https://www.philadelphia.edu.jo/centers/confucius/
https://www.philadelphia.edu.jo/ar/news/2024-2021-06-28-10-15-00",43,146
219,Confucius Institute at K. Zhubanov Aktobe Regional State University,,,K. Zhubanov Aktobe Regional State University,Aktobe,Kazakhstan,Closed,http://english.hanban.org/node_37912.htm,"http://zhubanov.edu.kz/en/pages/international-cooperation/international-cooperation.php
http://kongziyjy.org/plus/view.php?aid=1461",173,211
220,Confucius Institute at Karaganda State Technical University,,11/27/12,Karaganda State Technical University,Karaganda,Kazakhstan,Closed,http://english.hanban.org/node_42166.htm,http://zh-hant.kstu.kz/,176,211
221,Confucius Institute at Kazakh Ablai Khan University of International Relations and World Languages,,4/24/17,Kazakh Ablai Khan University of International Relations and World Languages,Almaty,Kazakhstan,Closed,http://www.ablaikhan.kz/,https://www.ablaikhan.kz/en/component/content/article/60-root-category-english-articles/news/university/1038-center-for-confucius-on-the-basis-of-kazakh-ablai-khan-university-of-international-relations-and-world-languages.html,174,211
222,Confucius Institute at Kazakh National University,,2/23/09,Kazakh National University,Almaty,Kazakhstan,Closed,http://english.hanban.org/node_10803.htm,http://faoffice.lzu.edu.cn/col_express/202007/189DA061A418BB8E751A1E732ABB726F.htm,175,211
223,Confucius Institute at L. N. Gumilyov Eurasian National University,,12/1/07,L. N. Gumilyov Eurasian National University,Astana,Kazakhstan,Closed,http://english.hanban.org/node_10804.htm,"https://www.synergymediaspecialists.com/l-n-gumilyov-eurasian-national-university-the-center-of-eurasian-ideas/
https://ff.enu.kz/subpage/kafedra-kitajskoj-filologii
https://www.enu.kz/en/info/news/56924/?sphrase_id=2931100",177,211
224,Confucius Institute at Egerton University,,7/1/12,Egerton University,Njoro,Kenya,Closed,http://www.egerton.ac.ke/,"https://www.egerton.ac.ke/confucius-institute
http://coieen.njau.edu.cn/Confucius_Institute.htm",135,103
225,Confucius Institute at Kenyatta University,,12/1/08,Kenyatta University,Nairobi,Kenya,Closed,http://www.ku.ac.ke/,http://confucius.ku.ac.ke/,136,103
226,Confucius Institute at Moi University,,1/30/15,Moi University,Nairobi,Kenya,Closed,http://english.hanban.org/node_44733.htm,https://www.mu.ac.ke/index.php/en/about-moi-university/global-collaborations-and-linkages.html,137,103
227,Confucius Institute at the University of Nairobi,,12/19/05,University of Nairobi,Nairobi,Kenya,Closed,http://www.uonbi.ac.ke/,https://confucius.uonbi.ac.ke/,138,103
228,Confucius Institute at Bishkek State University,,6/15/08,Bishkek State University,Bishkek,Kyrgyzstan,Closed,http://www.bhu.kg/home,http://www.bhu.kg/structure/institutes/confucius-institute,74,212
229,Confucius Institute at Jalal-Abad State University,,12/26/16,Jalal-Abad University,Jalal-Abad,Kyrgyzstan,Open,http://www.jagu.kg/,http://jagu.kg/view/news/id_news/7,75,212
230,Confucius Institute at Kyrgyz National University,,5/14/09,Kyrgyz National University,Bishkek,Kyrgyzstan,Closed,http://english.hanban.org/node_10797.htm,"https://akipress.com/news:57721:Confucius_Institute_to_open_at_Kyrgyz_National_University_today/
https://www.knu.kg/ky/index.php?searchword=%D0%BA%D0%BE%D0%BD%D1%84%D1%83%D1%86%D0%B8%D0%B9&ordering=&searchphrase=all&Itemid=1&option=com_search",76,212
231,Kyrgyz-Chinese Faculty at Osh State University,,2/1/13,Osh State University,Osh,Kyrgyzstan,Closed,http://www.oshsu.kg/,"https://www.oshsu.kg/en/page/108
https://oshmed.edu.kg/two-faculties-of-osh-state-university-signed-an-agreement-with-xinjiang-pedagogical-university-of-china/
https://www.facebook.com/oshmed.edu.kg/posts/2848445905201580",77,212
232,Confucius Institute at National University of Laos,,10/30/10,National University of Laos,Vientiane,Laos,Closed,http://www.nuol.edu.la/,"http://www.xinhuanet.com/english/2020-10/31/c_139481455.htm
https://nuol.edu.la/index.php/%E0%BA%AA%E0%BA%B0%E0%BA%96%E0%BA%B2%E0%BA%9A%E0%BA%B1%E0%BA%99-%E0%BB%81%E0%BA%A5%E0%BA%B0-%E0%BA%AA%E0%BA%B9%E0%BA%99/2020-12-01-04-54-00",108,227
233,Confucius Institute at Souphanouvong University,,7/15/18,Souphanouvong University,Luang Prabang,Laos,Closed,http://zhuanti.hanban.org/videolist/?cat=549&tag=en,https://www.su.edu.la/,109,227
234,Confucius Institute at University of Latvia,,11/4/11,University of Latvia,Riga,Latvia,Closed,http://cilu.lv.chinesecio.com/,http://www.ci.lu.lv/?cat=10&lang=en,117,187
235,Confucius Institute at Saint-Joseph University,,6/28/05,Saint-Joseph University,Beirut,Lebanon,Closed,http://english.hanban.org/node_10794.htm,https://ci.usj.edu.lb/,30,147
236,Confucius Institute at the University of Liberia,,12/18/08,University of Liberia,Monrovia,Liberia,Closed,http://english.hanban.org/node_10918.htm,"https://ul.edu.lr/admissions/confucius-institute-university-of-liberia/
https://china.aiddata.org/projects/1661
https://www.facebook.com/Confucius-Institute-at-University-of-Liberia-113582253664745/",76,078
237,Confucius Institute at Vilnius University,,7/2/05,Vilnius University,Vilnius,Lithuania,Closed,http://www.konfucijus.oc.vu.lt/,,63,188
238,Confucius Institute at the University of Luxembourg,,4/29/18,University of Luxembourg,Luxembourg City,Luxembourg,Open,https://confucius-institute.uni.lu/,https://wwwen.uni.lu/university/events/opening_of_the_confucius_institute_at_the_university_of_luxembourg,17,162
239,Confucius Institute at University of Macau,,4/16/18,University of Macau,Macau,China,Closed,https://fah.umac.mo/confucius-institute/,https://ci.um.edu.mo/,1536,235
240,Confucius Institute at SS Cyril and Methodius University,,9/3/13,SS Cyril and Methodius University,Skopje,North Macedonia,Closed,http://cyril.meth.mk.chinesecio.com/,"https://www.ucm.sk/en/confucius-institute-at-ucm/
https://e.swufe.edu.cn/INTERNATIONAL/Confucius_Institutes.htm",86,178
241,Confucius Institute at Antananarivo University,,11/13/08,Antananarivo University,Antananarivo,Madagascar,Closed,http://english.hanban.org/node_10924.htm,"https://www.facebook.com/Institut-Confucius-de-lUniversit%C3%A9-dAntananarivo-2111644015571322/
http://www.china.org.cn/english/education/228588.htm",62,119
242,Confucius Institute at Toamasina University,,9/19/14,Toamasina University,Toamasina,Madagascar,Closed,http://english.hanban.org/node_45163.htm,"https://www.facebook.com/Institut-Confucius-de-lUniversit%C3%A9-de-Toamasina-112033703836796/
https://books.google.com/books?id=JmgREAAAQBAJ&pg=PA202&lpg=PA202&dq=Confucius+Institute+at+Toamasina+University&source=bl&ots=jAE614zu17&sig=ACfU3U0TUCcQUg8jRDpSf-OCEvwXvxHZPQ&hl=en&sa=X&ved=2ahUKEwjNlefzs5XyAhUsMlkFHaZABkUQ6AF6BAgLEAM#v=onepage&q=Confucius%20Institute%20at%20Toamasina%20University&f=false",63,119
243,Confucius Institute at University of Malawi,,8/12/16,University of Malawi,Zomba,Malawi,Closed,http://english.hanban.org/node_42051.htm,"http://www.ctuas.com/Article/news/id/1472440147
https://twitter.com/at_unima?lang=en",78,105
244,Confucius Institute at SEGI University,,11/1/15,SEGI University,Petaling Jaya,Malaysia,Closed,http://english.hanban.org/node_45250.htm,"https://www.facebook.com/Segiconfucius/
https://segiuniversity.edu.my/exciting-programme-planned-for-confucius-institute-at-segi-university/",63,228
245,Confucius Institute at Universiti Malaysia Pahang,,10/14/19,Universiti Malaysia Pahang,Gambang,Malaysia,Closed,http://zhuanti.hanban.org/videolist/?cat=573&tag=en,"https://ci.ump.edu.my/index.php/en/?fbclid=IwAR0yzAeJD_pP8b7np5Sz2VbCSfcXwt_2y3rgL3N8Life2JT3KeWuLv-jSBo
https://www.facebook.com/100623258174139/posts/ci-ump-hsk-online-chinese-test-chinese-proficiency-test-home-edition-registratio/189079285995202/",64,228
246,Confucius Institute at Universiti Malaysia Sabah,,12/12/19,Universiti Malaysia Sabah,Kota Kinabalu,Malaysia,Closed,http://zhuanti.hanban.org/videolist/?cat=572&tag=en,"https://www.facebook.com/Confucius-Institute-UMS-108726743828499/
https://www.csust.edu.cn/info/1264/14050.htm
http://web.usm.my/km/39(1)2021/KM39012021_3.pdf",65,228
247,Confucius Institute at University College of Technology Sarawak,,12/10/20,University College of Technology Sarawak,Sibu,Malaysia,Closed,http://zhuanti.hanban.org/videolist/?cat=788&tag=en,https://confuciusinstitute.ucts.edu.my/,31,228
248,Kong Zi Institute for the Teaching of Chinese Language at University of Malaya,,11/1/09,University of Malaya,Kuala Lumpur,Malaysia,Closed,http://cisegi.my.chinesecio.com/,https://www.facebook.com/KZIUM/,66,228
249,Chinese Language Center at Villa College,,12/10/19,Villa College,Malé,Maldives,Closed,http://zhuanti.hanban.org/videolist/?cat=789&tag=en,"http://englishwap.hnmmc.cn/c/20170305/504716.shtml
https://www.facebook.com/villacollege.edu.mv/posts/2519150491474234",42,197
250,Confucius Institute at University of Letters and Human Science of Bamako,,6/30/18,University of Letters and Human Science of Bamako,Bamako,Mali,Closed,http://zhuanti.hanban.org/videolist/?cat=673&tag=en,"http://niarela.net/societe/education-societe/universite-des-lettres-et-des-sciences-humaines-de-bamako-inauguration-de-linstitut-confucius
https://www.dailymotion.com/video/x6ngjdu
https://curiexplore.enseignementsup-recherche.gouv.fr/files/fiches/MLI.pdf",4,079
251,Confucius Institute at the University of Malta,,6/29/09,University of Malta,Msida,Malta,Closed,http://secure.um.edu.mt/confucius,http://www.independent.com.mt/articles/2009-06-29/news/agreement-for-a-confucius-institute-at-the-university-of-malta-227024/,69,133
252,Confucius Institute at Nouakchott University,,6/24/19,Nouakchott University,Nouakchott,Mauritania,Closed,http://zhuanti.hanban.org/videolist/?cat=678&tag=en,"https://en.hbu.cn/HeadLines/5885.jhtml
http://oiceen.hbu.cn/NewsCenter/1549.jhtml",40,080
253,Confucius Institute at University of Mauritius,,12/14/16,University of Mauritius,Moka,Mauritius,Closed,http://zhuanti.hanban.org/videolist/?cat=384&tag=en,"https://www.uom.ac.mu/confucius/
http://www.mauritiustimes.com/mt/philip-li-ching-hum-11/",37,120
254,Confucius Institute at Autonomous University of Chihuahua,,6/28/05,University of Chihuahua,Chihuahua,Mexico,Closed,http://www.uach.mx/,"https://uach.mx/instituto-confucio/
https://www.facebook.com/institutoconfucio.uach
https://www.schoolandcollegelistings.com/MX/Chihuahua/736435929802913/Instituto-Confucio-Uach",1046,013
255,Confucius Institute at Autonomous University of New Leon,,11/24/06,University of New Leon,San Nicolás,Mexico,Closed,http://english.hanban.org/node_8632.htm,"http://www.ccl.uanl.mx/instituto-confucio/
https://www.uanl.mx/noticias/celebra-uanl-primera-decada-del-instituto-confucio/
https://www.uanl.mx/eventos/clases-de-chino-mandarin/",1047,013
256,Confucius Institute at Autonomous University of Yucatan,,6/30/05,University of Yucatan,Mérida,Mexico,Closed,http://www.uadyglobal.uady.mx/,"http://www.uadyglobal.uady.mx/en/index.php?modulo=contenido&id=143&tempId=238
https://yucatanmagazine.com/more-students-in-merida-learning-mandarin-as-interest-in-china-grows/",1048,013
257,Confucius Institute at National Autonomous University of Mexico,,11/12/08,National University of Mexico,Mexico City,Mexico,Closed,http://www.uadyglobal.uady.mx/en/index.php?modulo=contenido&id=143&tempId=238,"https://www.facebook.com/institutoconfucioenlaunam2018/?ref=page_internal
https://china.unam.mx/2019/06/21/crece-interes-por-aprender-chino-en-la-unam/
https://enallt.unam.mx/lenguas/cursos-lenguas-centros-extension
http://ciencia.unam.mx/leer/729/en-ciencia-joven-hablar-chino-una-puerta-a-lo-laboral-y-una-experiencia-de-vida",1049,013
258,Confucius Institute in Mexico City Huaxia,,1/1/06,Mexico City Huaxia,Mexico City,Mexico,Closed,http://english.hanban.org/node_8633.htm,"https://www.facebook.com/ciudaddemexico.institutoconfucio.3/
http://www.china.org.cn/learning_chinese/news/2010-10/11/content_21098430.htm
https://www.schoolandcollegelistings.com/MX/Benito-Juarez/1059695734047415/Instituto-Confucio-Ciudad-de-Mexico",1050,013
